number;title
2;The Circuit 2: The Final Punch (2002)  
3;The Circuit III: Final Flight (2006)  
1;Cirkeline - Storbyens Mus (da) (1998)
2;Cirkeline - Ost og Kærlighed (da) (2000)
3;Cirkeline og Verdens mindste superhelt (da) (2004)
1;Bænken (2000)
2;Arven (2003)
3;Drabet (2005)
1;Class of 1984 (1982)
2;Class of 1999 (1990)
3;Class of 1999 II: The Substitute (1994)
1;They Call Her Cleopatra Wong (1978)
2;Dynamite Johnson (1978)
3;Pay or Die a.k.a. Devil's Three (1979)
1;Codename: Kids Next Door - Operation Z.E.R.O. (2006)  
2;The Grim Adventures of the Kids Next Door (2007)  
3;Codename: Kids Next Door - Operation: I.N.T.E.R.V.I.E.W.S. (2008)
1;Code Name: Wild Geese (1984)
2;Commando Leopard (1985)
3;Il triangolo della paura (it) (1988)
1;Le Cœur Des Hommes (2003)
2;Le Cœur Des Hommes 2 (2007)
3;Le Cœur Des Hommes 3 (2013)
1;At Midnight I'll Take Your Soul (1964)
2;This Night I Will Possess Your Corpse (1967)
3;Embodiment of Evil (2008)
1;Cold Prey (2006)
2;Cold Prey 2 (2008)
3;Cold Prey 3 (2010)
1;A Summer at Grandpa's (1984)
2;The Time to Live and the Time to Die (1985)
3;Dust in the Wind (film) (1986)
1;Cotton Comes to Harlem (1970)
2;Come Back, Charleston Blue (1972)
3;A Rage in Harlem (1991)
1;The Count of Monte Cristo (1934)
2;The Son of Monte Cristo (1940)
3;The Return of Monte Cristo (1946)
1;The Adventures of Count Bobby (1961)
2;The Sweet Life of Count Bobby (1962)
3;Count Bobby, The Terror of The Wild West (1965)
1;Crackerjack (1994)
2;Crackerjack 2 (1996)
3;Crackerjack 3 (2000)
1;Creature from the Black Lagoon (1954)
2;Revenge of the Creature (1955)
3;The Creature Walks Among Us (1956)
1;Creepshow (1982)
2;Creepshow 2 (1987)
3;Creepshow III (2006) (unofficial)  
1;Crocodile Dundee (1986)
2;Crocodile Dundee II (1988)
3;Crocodile Dundee in Los Angeles (2001)
1;Cruel Intentions (1999)
2;Cruel Intentions 2 (2001)    
3;Cruel Intentions 3 (2004)  
1;Cube (1997)
2;Cube 2: Hypercube (2002)
3;Cube Zero (2004)  
1;Cyborg (1989)
2;Cyborg 2 (1993)
3;Cyborg 3: The Recycler (1994)  
